Category,Text,Label
gender,"תגידי, הכל בסדר איתך?",3=ʔitˈaχ
gender,"אני נותן לך את הספר, תקרא אותו.",2=leχˈa
gender,"אני נותן לך את הספר, תקראי אותו.",2=laχ
gender,"הבית שלך מאוד יפה, אתה קנית אותו מזמן?",1=ʃelχˈa
gender,ראיתי אותך הולך ברחוב.,1=ʔotχˈa
gender,"שלחתי אליך מכתב, את קיבלת אותו?",1=ʔelˈaiχ 4=kibˈalt
gender,"תודה לך, אתה עוזר לי מאוד.",1=leχˈa
gender,"אני מחכה לך, תזדרזי.",2=laχ
gender,"המפתח נשאר אצלך, אתה בטוח?",2=etsleχˈa
gender,"המפתח נשאר אצלך, את בטוחה?",2=etslˈeχ
gender,"אני חוזר אליך, חכה לי דקה.",2=ʔelˈeχa
gender,מה שמעתי ממך? אתה עוזב?,2=mimχˈa
gender,מה שמעתי ממך? את עוזבת?,2=mimˈeχ
gender,"הכיסא הזה בשבילך, שב בבקשה.",2=biʃvilχˈa
gender,מי עומד מולך? אתה מכיר אותו?,2=mulχˈa
gender,מי עומדת מולך? את מכירה אותה?,2=mulˈeχ
gender,"הכל קרה בגללך, אתה תמיד מאחר.",2=biɡlalχˈa
gender,"הכל קרה בגללך, את תמיד מאחרת.",2=biɡlalˈeχ
gender,"אני לא הולך בלעדיך, אתה בא איתי?",3=biladˈeχa
gender,"אני לא הולכת בלעדיך, את באה איתי?",3=biladˈaiχ
gender,"אני רץ אחריך, חכה רגע!",2=ʔaχarˈeχa
gender,"אני רצה אחריך, חכי רגע!",2=ʔaχarˈaiχ
gender,"אני רוצה להיות איתך, אתה חבר טוב.",3=ʔitχˈa
gender,"אני רוצה להיות איתך, את חברה טובה.",3=ʔitˈaχ
gender,איך המרגש אצלך? אתה נראה מרוצה.,2=etsleχˈa
gender,"אני סומך עליך, אתה תצליח.",2=ʔalˈeχa
gender,"אני סומכת עליך, את תצליחי.",2=ʔalˈaiχ
gender,"יש לי אמון בך, אתה תותח.",3=beχˈa
gender,"יש לי אמון בך, את תותחית.",3=baχ
gender,"כל העתיד לפניך, אתה צעיר.",2=lefanˈeχa
gender,"כל העתיד לפניך, את צעירה.",2=lefanˈaiχ
gender,"תשמור על עצמך, אתה חשוב.",2=ʔatsmeχˈa
gender,"תשמרי על עצמך, את חשובה.",2=ʔatsmˈeχ
gender,"השמיים פתוחים מעליך, אתה חופשי.",2=meʔalˈeχa
gender,"השמיים פתוחים מעליך, את חופשיה.",2=meʔalˈaiχ
gender,"האדמה רועדת מתחתיך, אתה מרגיש?",2=mitaχtˈeχa
gender,"האדמה רועדת מתחתיך, את מרגישה?",2=mitaχtˈaiχ
gender,"כולם יודעים מה שמך, אתה מפורסם.",3=ʃimχˈa
gender,"כולם יודעים מה שמך, את מפורסמת.",3=ʃmeχ
gender,"אני שומע את קולך, אתה קרוב.",3=kolχˈa
gender,"אני שומע את קולך, את קרובה.",3=kolˈeχ
gender,"אני תמיד פה לידך, אתה בטוח.",3=lejadχˈa
gender,"אני תמיד פה לידך, את בטוחה.",3=lejadˈeχ
gender,"אף אחד לא נגדך, אתה מגזים.",3=neɡdeχˈa
gender,"אף אחת לא נגדך, את מגזימה.",3=neɡdˈeχ
gender,"הקהל כולו כאן בעדך, אתה מנצח.",3=baadχˈa
gender,"הקהל כולו כאן בעדך, את מנצחת.",3=baadˈeχ
gender,"יש הרבה רעש סביבך, אתה שומע?",3=svivχˈa
gender,"יש הרבה רעש סביבך, את שומעת?",3=svivˈeχ
gender,"עשיתי את זה למענך, אתה מעריך?",3=lemaanχˈa
gender,"עשיתי את זה למענך, את מעריכה?",3=lemaanˈeχ
gender,"בוא נראה את עיניך, אתה עייף?",3=ʔeinˈeχa
gender,"בואי נראה את עיניך, את עייפה?",3=ʔeinˈaiχ
gender,"אני אוחז בשתי ידיך, אתה יציב.",3=jadˈeχa
gender,"אני אוחז בשתי ידיך, את יציבה.",3=jadˈaiχ
gender,"תסתכל לאן הולכות רגליך, אתה ממהר.",3=ʁaɡlˈeχa
gender,"תסתכלי לאן הולכות רגליך, את ממהרת.",3=ʁaɡlˈaiχ
gender,"רואים את הפחד על פניך, אתה חיוור.",4=panˈeχa
gender,"רואים את הפחד על פניך, את חיוורת.",4=panˈaiχ
gender,"איזה יופי יש בשערך, אתה מסתפר?",4=biseaɾχˈa
gender,"איזה יופי יש בשערך, את מסתפרת?",4=besaaʁˈeχ
gender,"מי מטפל כעת בכלבך, אתה בעבודה?",3=bekalbeχˈa
gender,"מי מטפלת כעת בכלבך, את בעבודה?",3=bekalbˈeχ
gender,"האכלתי היום את חתולך, אתה רגוע?",3=χatulχˈa
gender,"האכלתי היום את חתולך, את רגועה?",3=χatulˈeχ
gender,"צבעו לך את ביתך, אתה מרוצה?",3=beitχˈa
gender,"צבעו לך את ביתך, את מרוצה?",3=beitˈeχ
gender,"סידרתי לך את חדרך, אתה בא?",3=χadaʁχˈa
gender,"סידרתי לך את חדרך, את באה?",3=χadʁˈeχ
gender,"קראתי בשקיקה את ספרך, אתה סופר.",3=sifʁeχˈa
gender,"קראתי בשקיקה את ספרך, את סופרת.",3=sifʁˈeχ
gender,"אתה צריך לשמור על כספך, אתה פזרן.",4=kaspeχˈa
gender,"את צריכה לשמור על כספך, את פזרנית.",4=kaspˈeχ
gender,"אני לא אקח מזמנך, אתה ודאי עמוס.",4=mizmanχˈa
gender,"אני לא אקח מזמנך, את ודאי עמוסה.",4=mizmanˈeχ
gender,"איפה חנית את רכבך, אתה זוכר?",3=ʁiχbeχˈa
gender,"איפה חנית את רכבך, את זוכרת?",3=ʁiχbˈeχ
gender,"שכחת פה את תיקך, אתה צריך?",3=tikχˈa
gender,"שכחת פה את תיקך, את צריכה?",3=tikˈeχ
gender,"יש כתם קטן על בגדך, אתה רואה?",4=biɡdeχˈa
gender,"יש כתם קטן על בגדך, את רואה?",4=biɡdˈeχ
gender,"האם אתה אוהב את ארצך, אתה נשאר?",4=ʔaʁtseχˈa
gender,"האם את אוהבת את ארצך, את נשארת?",4=ʔaʁtsˈeχ
gender,"מתי תעזוב את עירך, אתה עובר?",3=ʔiʁχˈa
gender,"מתי תעזבי את עירך, את עוברת?",3=ʔiʁˈeχ
gender,"הקשבתי היטב לכל דבריך, אתה צודק.",3=dvaʁˈeχa
gender,"הקשבתי היטב לכל דבריך, את צודקת.",3=dvaʁˈaiχ
gender,"אני מעריך את כל מעשיך, אתה צדיק.",4=maasˈeχa
gender,"אני מעריכה את כל מעשיך, את צדיקה.",4=maasˈaiχ
gender,"האם הזמנת את כל חבריך, אתה חוגג?",4=χaveʁˈeχa
gender,"האם הזמנת את כל חבריך, את חוגגת?",4=χaveʁˈaiχ
gender,"מי אוסף את ילדיך, אתה פנוי?",3=jeladˈeχa
gender,"מי אוספת את ילדיך, את פנויה?",3=jeladˈaiχ
gender,"האם דיברת היום עם הוריך, אתה מתגעגע?",4=hoʁˈeχa
gender,"האם דיברת היום עם הוריך, את מתגעגעת?",4=hoʁˈaiχ
gender,"ראיתי במקרה את אחיך, אתה דומה.",3=ʔaχˈiχa
gender,"ראיתי במקרה את אחיך, את דומה.",3=ʔaχˈaiχ
gender,"פגשתי אתמול את אחיותיך, אתה שמח?",3=ʔaχjoteχˈa
gender,"פגשתי אתמול את אחיותיך, את שמחה?",3=ʔaχjotˈaiχ
gender,"אני מחפש את אשתך, אתה שם?",3=ʔiʃteχˈa
gender,"אני מחפש את אשתך, את שם?",3=ʔiʃtˈeχ
gender,"מהי באמת דעתך, אתה משתף?",2=daatχˈa
gender,"מהי באמת דעתך, את משתפת?",2=daatˈeχ
gender,"אל תבזבז את כל כוחך, אתה תותש.",4=koχaχˈa
gender,"אל תבזבזי את כל כוחך, את תותשי.",4=koχˈeχ
gender,"אתה צריך לאמץ את מוחך, אתה לומד?",4=moχaχˈa
gender,"את צריכה לאמץ את מוחך, את לומדת?",4=moχˈeχ
gender,"כדאי שתשמור על גופך, אתה ספורטאי.",3=ɡufχˈa
gender,"כדאי שתשמרי על גופך, את ספורטאית.",3=ɡufˈeχ
gender,"יש לך טוב בתוך לבך, אתה טהור.",4=libeχˈa
gender,"יש לך טוב בתוך לבך, את טהורה.",4=libˈeχ
gender,"אני מרגיש את עומק נשמתך, אתה עמוק.",4=niʃmatχˈa
gender,"אני מרגיש את עומק נשמתך, את עמוקה.",4=niʃmatˈeχ
gender,"היכן נמצאת כעת רוחך, אתה איתי?",3=ʁuχaχˈa
gender,"היכן נמצאת כעת רוחך, את איתי?",3=ʁuχˈeχ
gender,"אני רואה איך רותח דמך, אתה זועם.",4=damχˈa
gender,"אני רואה איך רותח דמך, את זועמת.",4=damˈeχ
gender,"השמש שרפה את עורך, אתה אדום.",3=ʔoʁχˈa
gender,"השמש שרפה את עורך, את אדומה.",3=ʔoʁˈeχ
gender,"הסכין חתכה את בשרך, אתה מדמם?",3=besaʁχˈa
gender,"הסכין חתכה את בשרך, את מדממת?",3=besaʁˈeχ
gender,"מה יהיה עם עתידך, אתה מתכנן?",3=ʔatidχˈa
gender,"מה יהיה עם עתידך, את מתכננת?",3=ʔatidˈeχ
gender,"אי אפשר לשנות את עברך, אתה משלים?",4=ʔavaʁχˈa
gender,"אי אפשר לשנות את עברך, את משלימה?",4=ʔavaʁˈeχ
gender,"אני מאוד מעריך את כבודך, אתה יקר.",4=kvodχˈa
gender,"אני מאוד מעריכה את כבודך, את יקרה.",4=kvodˈeχ
gender,"מהו בדיוק תפקידך, אתה הבוס?",2=tafkidχˈa
gender,"מהו בדיוק תפקידך, את הבוסית?",2=tafkidˈeχ
gender,"האם השגת את מטרתך, אתה גאה?",3=matʁatχˈa
gender,"האם השגת את מטרתך, את גאה?",3=matʁatˈeχ
gender,"עדיין לא הבנתי את שאלתך, אתה מסביר?",4=ʃeʔelatχˈa
gender,"עדיין לא הבנתי את שאלתך, את מסבירה?",4=ʃeʔelatˈeχ
gender,"קראתי בעיון את תשובתך, אתה חד.",3=tʃuvatχˈa
gender,"קראתי בעיון את תשובתך, את חדה.",3=tʃuvatˈeχ
gender,"המשך ללכת בתוך דרכך, אתה ממוקד.",4=daʁkeχˈa
gender,"המשיכי ללכת בתוך דרכך, את ממוקדת.",4=daʁkˈeχ
gender,"הלוואי שיאיר לך מזלך, אתה זוכה.",3=mazalχˈa
gender,"הלוואי שיאיר לך מזלך, את זוכה.",3=mazalˈeχ
gender,"האם אתה בוחר את גורלך, אתה יוזם?",4=ɡoʁalχˈa
gender,"האם את בוחרת את גורלך, את יוזמת?",4=ɡoʁalˈeχ
gender,"מתי תגשים את חלומך, אתה בדרך?",3=χalomχˈa
gender,"מתי תגשימי את חלומך, את בדרך?",3=χalomˈeχ
gender,"אני מבין היטב את פחדך, אתה נורמלי.",4=paχdeχˈa
gender,"אני מבינה היטב את פחדך, את נורמלית.",4=paχdˈeχ
gender,"תרגיע בבקשה את כעסך, אתה מגזים.",3=kaasχˈa
gender,"תרגיעי בבקשה את כעסך, את מגזימה.",3=kaasˈeχ
gender,"אני שותף מלא לכל שמחתך, אתה חוגג.",4=simχatχˈa
gender,"אני שותפה מלאה לכל שמחתך, את חוגגת.",4=simχatˈeχ
gender,"מי יעצור את סבלך, אתה בוכה?",3=sivleχˈa
gender,"מי יעצור את סבלך, את בוכה?",3=sivlˈeχ
acronyms,"הדו""ח שלך מוכן, אתה יכול להגיש אותו.",0=hadˈoχ
acronyms,"אני שולח אליך את המנכ""ל, תדבר איתו.",4=hamankˈal
acronyms,"דיברתי עם הסמנכ""ל והוא אישר את התקציב.",2=hasamankˈal
acronyms,"הוא שירת ביחידה מיוחדת בצה""ל לפני כמה שנים.",4=betsˈaal
acronyms,צריך להיכנס לממ״ד,2=lamamˈad
acronyms,הוא מתעסק בנדל״ן,2=benadlˈan
acronyms,הוא מע״ר במד״א,1=maˈaʁ 2=bemadˈa
acronyms,הוא שירת באמ״ן,2=baʔamˈan
acronyms,הוא שירת בשב״כ,2=baʃabˈak
acronyms,הפצ״רית החליטה שזה נכון,0=hapatzaʁˈit
acronyms,יש בית חב״ד בכל העולם,2=χabˈad
acronyms,תמסור לה ד״ש חם,2=dˈaʃ
acronyms,תביא קצת גבנ״צ לפיצה,2=ɡavnˈats
acronyms,הוא קיבל צל״ש בצבא,2=tsalˈaʃ
acronyms,האחמ״ש הזה ממש טוב,0=haʔaχmˈaʃ
acronyms,היועמ״ש הוא כמו שופט,0=hajoamˈaʃ
acronyms,הוא יחצ״ן מסיבות,1=jaχtsˈan
acronyms,הוא ח״כ כבר הרבה שנים בכנסת,1=χˈak
acronyms,איזה בלת״ק,1=baltˈak
acronyms,איזה כיסתו״ח,1=kastˈuaχ
acronyms,הרמטכ״ל נתן הנחיה חדשה,0=haʁamatkˈal
acronyms,המפכ״ל של המשטרה,1=hamafkˈal
acronyms,שוטרי ימ״ר מרכז,1=jamˈaʁ
acronyms,בג״ץ דחה את ההצעה,0=baɡˈats
acronyms,זה קרה בשנת תש״ח,3=taʃˈaχ
acronyms,פגשתי את הקב״ן בבסיס היום.,2=hakabˈan
acronyms,הוא יושב בחפ״ק ומנהל את האירוע.,2=baχapˈak
acronyms,המג״ד דיבר עם החיילים בבוקר.,0=hamaɡˈad
acronyms,הרס״ר נתן לו תלונה על הופעה.,0=haʁasˈaʁ
acronyms,הוא קודם לדרגת רס״ן.,3=ʁasˈan
acronyms,מפקד הטייסת הוא סא״ל.,3=saˈal
acronyms,תא״ל כהן נשא דברים בטקס.,0=taˈal
acronyms,הוא השתחרר בדרגת אל״מ.,3=ʔalˈam
acronyms,בבוקר היה לנו מד״ס קשה.,3=madˈas
acronyms,יש לו פז״ם של שלוש שנים.,2=pazˈam
acronyms,החופ״ל חילק פטורים.,0=haχopˈel
acronyms,קיבלתי הקלות ת״ש מהצבא.,2=tˈaʃ
acronyms,המש״ק חינוך אירגן את הסיור.,0=hamaʃˈak
acronyms,תבדוק מה המק״ט של החלק הזה.,2=hamakˈat
acronyms,ישבנו כל הלילה בחמ״ל.,3=baχamˈal
acronyms,המזל״ט צילם את המטרה מלמעלה.,0=hamazlˈat
acronyms,הצבא יירט מל״ט אויב.,2=malˈat
acronyms,הוא משרת בשב״ס כסוהר.,2=baʃabˈas
acronyms,לוחמי מג״ב תפסו את החשוד.,1=maɡˈav
acronyms,כוחות יס״מ פיזרו את ההפגנה.,1=jasˈam
acronyms,חוקרי מצ״ח הגיעו לבסיס.,1=matsˈaχ
acronyms,סבא שלי נלחם בשורות הפלמ״ח.,4=hapalmˈaχ
acronyms,לוחמי האצ״ל פעלו במחתרת.,1=haʔetsˈel
acronyms,גם אנשי הלח״י השתתפו במבצע.,2=halˈeχi
acronyms,אני מקשיב לחדשות בגל״צ.,3=beɡalˈats
acronyms,המחיר הזה כולל מע״מ.,3=maˈam
acronyms,התמ״ג של המדינה עלה השנה.,0=hatamˈaɡ
acronyms,היו״ר פתח את הישיבה.,0=hajˈoʁ
acronyms,הקמתי חברה בע״מ חדשה.,2=baˈam
acronyms,הציבור החרד״ל גדל בשנים האחרונות.,1=haχaʁdˈal
acronyms,אנחנו טסים לטיול בחו״ל מחר.,3=beχˈul
acronyms,נחתנו בנתב״ג לפנות בוקר.,1=benatbˈaɡ
acronyms,כוחות האו״ם מוצבים בגבול.,1=haʔˈum
acronyms,שיהיה לך סופ״ש נעים.,2=sofˈaʃ
acronyms,ניפגש במוצ״ש אחרי ההבדלה.,1=bemotsˈaʃ
acronyms,אני הולך לעשות שנ״צ קצר.,3=ʃnˈats
acronyms,למדנו את הפרק בשיעור תנ״ך היום.,4=tanˈaχ
acronyms,מפקד הפלנ״ט אישר את התוכנית.,1=hapalnˈat
acronyms,לוחמי הפלס״ר יצאו לנווט.,1=hapalsˈaʁ
acronyms,הפלח״ן פוצץ את המטען.,0=hapalχˈan
acronyms,המשטרה עצרה שב״ח באתר הבנייה.,2=ʃabˈaχ
acronyms,המסעדה הזאת בכשרות בד״ץ.,3=badˈats
acronyms,המלצר הביא לנו סכו״ם נקי.,3=sakˈum
acronyms,הלו״ז שלי מלא להיום.,0=halˈuz
acronyms,הוציאו אותי לחל״ת בגלל המשבר.,2=laχalˈat
acronyms,אם לא תבוא זה זב״ש שלך.,4=zbˈaʃ
acronyms,עצי היער ניטעו על ידי קק״ל.,5=kakˈal
acronyms,הבאתי פק״ל קפה לשטח.,1=pakˈal
acronyms,הקורס מתקיים בביסל״ח.,2=bevislˈaχ
acronyms,הוא מדריך בבה״ד שבע.,2=bebˈahad
acronyms,הסיירת מבצעת פעילות בט״ש בקו.,3=batˈaʃ
acronyms,חיילי החרמ״ש ירדו מהנגמ״ש.,1=haχeʁmˈeʃ
acronyms,הוא מתנדב במשא״ז בלילות.,2=bamaʃˈaz
acronyms,מתנדבי זק״א הגיעו לזירת התאונה.,1=zakˈa
acronyms,כוחות נאט״ו פרסו טילים באזור.,1=nˈato
acronyms,פרסתי את השק״ש באוהל.,2=haʃakˈaʃ
acronyms,הלכנו לקנות ממתקים בשק״ם בבסיס.,3=baʃˈekem
acronyms,אני משרת קל״ב וחוזר הביתה כל יום.,2=kalˈab
acronyms,שמעתי שיר יפה בגלגל״צ היום.,3=beɡalɡalˈats
acronyms,הקצין יצא ללימודים בפו״ם לשנה.,3=bepˈum
acronyms,המח״ט אישר את הפעולה בעצמו.,0=hamaχˈat
acronyms,הוא לומד מדמ״ח באוניברסיטה.,2=madmˈaχ
acronyms,יש חוג כדורסל במתנ״ס המקומי.,3=bamatnˈas
acronyms,השקעתי בקרן אג״ח ממשלתית.,2=ʔaɡˈaχ
acronyms,הרמ״ד העביר לנו תדריך בבוקר.,0=haʁamˈad
acronyms,הרע״ן דרש לקבל את המצגת.,0=haʁaˈan
acronyms,הקמ״ן הציג את תמונת המודיעין.,0=hakamˈan
acronyms,המנכ״לית החדשה נכנסה לתפקיד.,0=hamankˈalit
acronyms,המסמך הזה מסווג כבלמ״ס כרגע.,3=kabalmˈas
acronyms,הוא נחשד בכך שהיה משת״פ.,4=maʃtˈap
acronyms,כולם ללבוש שחפ״צ לפני היציאה.,2=ʃaχpˈats
acronyms,האירוע הוגדר כאירוע פח״ע ביטחוני.,3=paχˈa
acronyms,מערכת שו״ב חדשה הותקנה בחמ״ל.,1=ʃuv
acronyms,מחלקת מו״פ מפתחת את המוצר.,1=mˈop
acronyms,שינוי התב״ע אושר בוועדה המקומית.,1=hatabˈa
acronyms,מפקד התחנה קודם לדרגת נצ״מ.,4=natsˈam
acronyms,קצין בדרגת תנ״צ ניהל את החקירה.,2=tanˈats
acronyms,החייל ירה במא״ג לעבר המטרה.,2=bamˈaɡ
acronyms,קיבלנו רוס״ר חדש בטירונות.,1=ʁosˈaʁ
acronyms,הקב״ט בדק לנו את התיקים בכניסה.,0=hakabˈat
acronyms,הרבש״ץ סייר לאורך גדר היישוב.,0=haʁabʃˈats
acronyms,הוכרז מצב משק מל״ח בחירום.,3=melˈaχ
acronyms,בית המשפט פרסם פס״ד תקדימי.,3=psak dˈin
acronyms,קיבלתי הפניה לרופא בחר״פ בבוקר.,3=baχaʁˈap
acronyms,ראש אט״ל ביקר בבסיס ההספקה.,1=ʔatˈal
acronyms,סיירת מטכ״ל פעלה מעבר לגבול.,1=matkˈal
acronyms,קצין אג״ם תכנן את הפריסה בשטח.,1=ʔaɡˈam
acronyms,פעם הייתה בצה״ל דרגת טר״ש היסטורית.,2=betsˈaal 4=taʁˈaʃ
acronyms,הוא קיבל סמ״ר ממש לפני השחרור.,2=samˈaʁ
acronyms,הנגד בדרגת רס״ל חתם קבע.,2=ʁasˈal
acronyms,הרס״מ אחראי על המחסן הטכני.,0=haʁasˈam
acronyms,הרנ״ג משרת בבסיס כבר עשרים שנה.,0=haʁanˈaɡ
acronyms,הוא עתודאי ולכן הוא קמ״א כעת.,4=kamˈa
acronyms,הקשר סחב מ״ק על הגב.,2=mˈak
acronyms,המ״כ העביר לנו שיעור נשק.,0=hamˈak
acronyms,המו״ל החליט להדפיס מהדורה חדשה.,0=hamˈol
acronyms,פועלי מע״ץ סללו את הכביש.,1=maˈats
acronyms,משגר כטב״ם אותר והושמד.,1=katbˈam
acronyms,קניתי אופנוע עם מאתיים סמ״ק מנוע.,4=samˈak
acronyms,הוא נסע מאה קמ״ש בכביש מהיר.,3=kamˈaʃ
acronyms,הוגשה עת״מ לבית המשפט המחוזי.,1=ʔatˈam
acronyms,זה היה אירוע דו״צ לצערנו הרב.,2=dˈots
acronyms,הקמב״ץ חילק לנו משימות ללילה.,0=hakambˈats
acronyms,הרמ״ח אישר את תקציב המחלקה.,0=haʁamˈaχ
acronyms,משרד יח״צ מנהל את הקמפיין.,1=jaχˈats
acronyms,פצ״מר נפל בשטח פתוח.,0=patsmˈaʁ
acronyms,הרופא שלח אותי לבדיקת אק״ג דחופה.,4=ʔe ke ɡˈe
acronyms,התיק עבר לחקירת מח״ש במשטרה.,3=maχˈaʃ
acronyms,צג המק״מ הראה מטרה מתקרבת.,1=hamakˈam
acronyms,הנהג החנה את הנגמ״ש בסדנה.,3=hanaɡmˈaʃ
acronyms,הוא מאושפז בבית חולים רמב״ם היום.,4=ʁambˈam
acronyms,הוא לקח הלוואה מהסדר גמ״ח קהילתי.,4=ɡmˈaχ
acronyms,הספר הזה עולה חמישים ש״ח בלבד.,4=ʃˈaχ
acronyms,ארגון דאע״ש נטל אחריות לפיגוע.,1=dˈa.eʃ
acronyms,קראנו את הפירוש של רש״י בשיעור.,4=ʁˈaʃi
acronyms,הוא הציב מקל״ע על עמדת השמירה.,2=miklˈa
,,
acronyms,המזכ״ל אישר את ההסכם החדש.,0=hamazkˈal
acronyms,למדנו היום מאמר של חז״ל בכיתה.,4=χazˈal
acronyms,העובדים מקבלים תוספת אש״ל במשכורת.,3=ʔˈeʃel
acronyms,חיל הים רכש סטי״ל חדש.,3=satˈil
acronyms,הוא התגייס להיות חפ״ש בגדוד רגיל.,3=χapˈaʃ
acronyms,הסמג״ד העביר תדריך לכל החיילים.,0=hasmaɡˈad
acronyms,הוא קיבל ציון דפ״ר ממש גבוה.,3=dapˈaʁ
acronyms,הצבא תגבר כוחות באזור איו״ש הלילה.,4=ʔijˈoʃ
acronyms,יצאתי לחמשו״ש אחרי שבועיים בבסיס.,1=laχamʃˈuʃ
,,
penultimate stress,אתה מגיע עם האופנוע?,3=haofnˈoa
penultimate stress,יש לך אופניים?,2=ʔofanˈajim
penultimate stress,היא עומדת לפטר אלפי עובדים,1=ʔomˈedet
penultimate stress,שמעת על הדיווח שהיה בחדשות?,0=ʃamˈata 2=hadivˈuaχ
penultimate stress,זה פתוח אתה יכול להיכנס,1=patˈuaχ
penultimate stress,הוא בא היום בערב,3=baˈeʁev
penultimate stress,ירושלים היא עיר הבירה,0=jeʁuʃalˈajim
penultimate stress,השגנו השגים עצומים,0=hisˈaɡnu
penultimate stress,פוליטיקה זו לא מילה גסה,0=polˈitika
penultimate stress,הוא לומד באקדמיה,2=baakadˈemja
penultimate stress,אכלתי אבוקדו,1=ʔavokˈado
penultimate stress,היא ניצחה באולימפיאדה,2=baʔolimpiˈjada
penultimate stress,הוא הגיע עם אמבולנס,3=ʔambulˈans
penultimate stress,איזה פנטזיה זה,1=fantˈazja
